Time,Subsystem #1|Branch Currents|MAINIA,Subsystem #1|Branch Currents|MAINIB,Subsystem #1|Branch Currents|MAINIC
0.06783062,-0.096285619,-0.03582279,0.108393349
0.06799728,-0.092820495,-0.048195761,0.116587147
0.06816394,-0.088992201,-0.0603185,0.124262296
0.0683306,-0.084829398,-0.072138481,0.131397486
0.06849726,-0.080361515,-0.08360669,0.137975365
0.06866392,-0.075617895,-0.094677806,0.143981829
0.06883058,-0.070627891,-0.105310381,0.149406299
0.06899724,-0.065420114,-0.115466982,0.154240951
0.0691639,-0.060021628,-0.125114113,0.158480197
0.06933056,-0.054457854,-0.134222254,0.162120357
0.06949722,-0.048752487,-0.14276588,0.165159419
0.06966388,-0.042927027,-0.150722727,0.167596161
0.06983054,-0.037000839,-0.158073723,0.169429913
0.0699972,-0.030991316,-0.164802715,0.170660615
0.07016386,-0.024913756,-0.17089586,0.171287939
0.07033052,-0.018782351,-0.176341668,0.171312317
0.07049718,-0.012609397,-0.181130081,0.170733243
0.07066384,-0.006405898,-0.185251474,0.169549063
0.0708305,-1.82E-04,-0.188697711,0.167758629
0.07099716,0.006050747,-0.191460878,0.165360525
0.07116382,0.012282315,-0.19353421,0.162354663
0.07133048,0.018500593,-0.194911107,0.158741623
0.07149714,0.024692643,-0.195585176,0.154522792
0.0716638,0.030843765,-0.195550665,0.149701864
0.07183046,0.036937531,-0.194802538,0.144284427
0.07199712,0.042955454,-0.193336263,0.138278544
0.07216378,0.048876967,-0.1911484,0.131695196
0.07233044,0.054679267,-0.188237116,0.124549069
0.0724971,0.06033732,-0.184602127,0.116858311
0.07266376,0.065824136,-0.180245221,0.108645171
0.07283042,0.071111083,-0.175171018,0.099936247
0.07299708,0.076168135,-0.169387028,0.090762347
0.07316374,0.080965072,-0.162905708,0.081159413
0.0733304,0.085470311,-0.155741185,0.071166329
0.07349706,0.089652307,-0.147911534,0.060826212
0.07366372,0.093480781,-0.139440179,0.050186191
0.07383038,0.096926719,-0.130354717,0.039296389
0.07399704,0.099962994,-0.120687552,0.02820993
0.0741637,0.102565423,-0.110476188,0.016982343
0.07433036,0.104713067,-0.099762775,0.005670699
0.07449702,0.106388308,-0.088593632,-0.005666894
0.07466368,0.107577644,-0.0770192,-0.016972171
0.07483034,0.108272076,-0.065093473,-0.028187629
0.074997,0.108466826,-0.052873373,-0.039256785
0.07516366,0.108161651,-0.040418226,-0.05012507
0.07533032,0.107360996,-0.02778931,-0.060740381
0.07549698,0.106073499,-0.01504901,-0.071053587
0.07566364,0.104311794,-0.002260178,-0.081018746
0.0758303,0.102093287,0.010514108,-0.090594113
0.07599696,0.099438228,0.023211835,-0.099741727
0.07616362,0.096368767,0.035773069,-0.108427219
0.07633028,0.092909917,0.048139773,-0.116620794
0.07649694,0.089088313,0.060256638,-0.124296568
0.0766636,0.084932536,0.072071239,-0.131433234
0.07683026,0.080471836,0.083534606,-0.138013244
0.07699692,0.075735524,0.094601505,-0.144022614
0.07716358,0.070752889,0.105230548,-0.149450749
0.07733024,0.065552399,0.115384311,-0.154289737
0.0774969,0.060160995,0.125029415,-0.158533931
0.07766356,0.054604117,0.134136513,-0.162179738
0.07783022,0.048905332,0.14267993,-0.165225044
0.07799688,0.043086085,0.150637463,-0.167668596
0.07816354,0.03716575,0.157990158,-0.169509828
0.0783302,0.031161597,0.164721802,-0.170748442
0.07849686,0.02508889,0.170818552,-0.171384111
0.07866352,0.018961776,0.176268905,-0.171417251
0.07883018,0.012792406,0.181062728,-0.170847133
0.07899684,0.006591633,0.18519032,-0.169671804
0.0791635,3.70E-04,0.188643307,-0.167889878
0.07933016,-0.005862314,0.191413626,-0.165499732
0.07949682,-0.012094025,0.193494439,-0.162501201
0.07966348,-0.018313445,0.194879115,-0.158894718
